Exchanges [Primary Listing],CIK
New York Stock Exchange (NYSE),863436
New York Stock Exchange (NYSE),0001309108; 0001094107
New York Stock Exchange (NYSE),1733998
New York Stock Exchange (NYSE),0000741087; 0001408075
New York Stock Exchange (NYSE),17843
New York Stock Exchange (NYSE),104918
New York Stock Exchange (NYSE),1318885
Nasdaq Global Select (NasdaqGS),876167
Nasdaq Global Select (NasdaqGS),0000933036; 0000729217
New York Stock Exchange (NYSE),1417398
New York Stock Exchange (NYSE),78890
Nasdaq Global Select (NasdaqGS),1262039
Nasdaq Global Select (NasdaqGS),0000887343; 0001077771
Nasdaq Global Select (NasdaqGS),0001803696; 0001690666
New York Stock Exchange (NYSE),1108426
New York Stock Exchange (NYSE),1020859
New York Stock Exchange (NYSE),84246
Nasdaq Global Select (NasdaqGS),797721
Nasdaq Global Select (NasdaqGS),878927
Nasdaq Global Select (NasdaqGS),0000354913; 0001405495
New York Stock Exchange (NYSE),929008
New York Stock Exchange (NYSE),66756
New York Stock Exchange (NYSE),918646
-,1173420
-,0001708645; 0000913059
New York Stock Exchange (NYSE),795403
Nasdaq Global Select (NasdaqGS),785786
Nasdaq Global Select (NasdaqGS),0000807882; 0001064030
New York Stock Exchange (NYSE),102037
New York Stock Exchange (NYSE),930236
New York Stock Exchange (NYSE),14930
Nasdaq Global Select (NasdaqGS),36029
Nasdaq Global Select (NasdaqGS),1050446
New York Stock Exchange (NYSE),0000923796; 0001591188
Nasdaq Global Select (NasdaqGS),1029199
New York Stock Exchange (NYSE),39368
-,0001604481; 0001450281
Nasdaq Global Select (NasdaqGS),874015
Nasdaq Global Select (NasdaqGS),866729
Nasdaq Global Select (NasdaqGS),707179
Nasdaq Global Select (NasdaqGS),1039399
New York Stock Exchange (NYSE),19584
-,1340677
Nasdaq Global Select (NasdaqGS),879169
Nasdaq Global Select (NasdaqGS),63296
New York Stock Exchange (NYSE),771497
New York Stock Exchange (NYSE),1289877
New York Stock Exchange (NYSE),733269
Nasdaq Global Select (NasdaqGS),1403568
New York Stock Exchange (NYSE),0001289308; 0001058371
Nasdaq Global Select (NasdaqGS),917520
Nasdaq Global Select (NasdaqGS),88941
New York Stock Exchange (NYSE),795266
Nasdaq Global Select (NasdaqGS),817720
New York Stock Exchange (NYSE),1177394
New York Stock Exchange (NYSE),1130464
New York Stock Exchange (NYSE),108516
New York Stock Exchange (NYSE),0000896769; 0000046619
New York Stock Exchange (NYSE),913142
New York Stock Exchange (NYSE),18349
New York Stock Exchange (NYSE),891014
Nasdaq Global Select (NasdaqGS),940942
Nasdaq Global Select (NasdaqGS),1280058
New York Stock Exchange (NYSE),814547
New York Stock Exchange (NYSE),742278
Nasdaq Global Select (NasdaqGS),1169561
New York Stock Exchange (NYSE),59440
New York Stock Exchange (NYSE),936395
Nasdaq Global Select (NasdaqGS),1363829
Nasdaq Global Select (NasdaqGS),23197
Nasdaq Global Market (NasdaqGM),899460
Nasdaq Global Select (NasdaqGS),833640
Nasdaq Global Select (NasdaqGS),1084765
New York Stock Exchange (NYSE),105418
New York Stock Exchange (NYSE),4457
New York Stock Exchange (NYSE),1071739
New York Stock Exchange (NYSE),873860
New York Stock Exchange (NYSE),66570
New York Stock Exchange (NYSE),15615
New York Stock Exchange (NYSE),866706
Nasdaq Global Select (NasdaqGS),793733
New York Stock Exchange (NYSE),820318
Nasdaq Global Select (NasdaqGS),1993004
New York Stock Exchange (NYSE),89439
Nasdaq Global Select (NasdaqGS),1362468
Nasdaq Global Select (NasdaqGS),945841
New York Stock Exchange (NYSE),109563
Nasdaq Global Select (NasdaqGS),731012
New York Stock Exchange (NYSE),717954
New York Stock Exchange (NYSE),9984
Nasdaq Global Select (NasdaqGS),1368265
Nasdaq Global Select (NasdaqGS),1084048
Nasdaq Global Select (NasdaqGS),354647
Nasdaq Global Select (NasdaqGS),769520
-,1231346
Nasdaq Global Select (NasdaqGS),1041859
New York Stock Exchange (NYSE),1465128
Nasdaq Global Select (NasdaqGS),1897982
New York Stock Exchange (NYSE),1750
Nasdaq Global Select (NasdaqGS),66382
Nasdaq Global Select (NasdaqGS),0001520262; 0000874663
Nasdaq Global Select (NasdaqGS),29002
Nasdaq Global Select (NasdaqGS),0000075129; 0001466593
New York Stock Exchange (NYSE),0001032220; 0000103220
New York Stock Exchange (NYSE),77543
New York Stock Exchange (NYSE),1288403
Nasdaq Global Select (NasdaqGS),230557
Nasdaq Global Market (NasdaqGM),716643
Nasdaq Global Select (NasdaqGS),1041514
New York Stock Exchange (NYSE),60519
Nasdaq Global Select (NasdaqGS),1067294
Nasdaq Capital Market (NasdaqCM),906709
New York Stock Exchange (NYSE),801337
Nasdaq Global Select (NasdaqGS),729986
Nasdaq Global Select (NasdaqGS),897723
Nasdaq Global Select (NasdaqGS),1434588
Nasdaq Global Select (NasdaqGS),1049502
Nasdaq Global Select (NasdaqGS),1207179
Nasdaq Global Select (NasdaqGS),1057352
New York Stock Exchange (NYSE),1258602
Nasdaq Global Select (NasdaqGS),1138639
Nasdaq Global Select (NasdaqGS),1385613
New York Stock Exchange (NYSE),0000868671; 0001060330
New York Stock Exchange (NYSE),1050825
Nasdaq Global Select (NasdaqGS),811596
NYSE MKT LLC (NYSEAM),0000805676; 0000707209
Nasdaq Global Select (NasdaqGS),876523
Nasdaq Global Select (NasdaqGS),879585
New York Stock Exchange (NYSE),844965
Nasdaq Global Select (NasdaqGS),1280452
Nasdaq Global Select (NasdaqGS),946581
Nasdaq Global Select (NasdaqGS),1080014
New York Stock Exchange (NYSE),921582
New York Stock Exchange (NYSE),814585
Nasdaq Global Select (NasdaqGS),1161728
Nasdaq Global Select (NasdaqGS),16160
New York Stock Exchange (NYSE),1230245
New York Stock Exchange (NYSE),319655
New York Stock Exchange (NYSE),0001350593; 0001291000
New York Stock Exchange (NYSE),1257640
New York Stock Exchange (NYSE),1021162
Nasdaq Global Select (NasdaqGS),939767
Nasdaq Global Select (NasdaqGS),0001336443; 0001289460
New York Stock Exchange (NYSE),1406587
Nasdaq Capital Market (NasdaqCM),1120370
-,1164771
New York Stock Exchange (NYSE),0000810383; 0000037808
-,878518
New York Stock Exchange (NYSE),1378789
Nasdaq Global Select (NasdaqGS),1111928
-,1588823
New York Stock Exchange (NYSE),1035201
New York Stock Exchange (NYSE),27996
New York Stock Exchange (NYSE),56679
New York Stock Exchange (NYSE),1126956
New York Stock Exchange (NYSE),50725
Nasdaq Global Select (NasdaqGS),1122904
New York Stock Exchange (NYSE),80172
Nasdaq Global Select (NasdaqGS),708955
Nasdaq Global Select (NasdaqGS),0000895301; 0000913241
Nasdaq Global Select (NasdaqGS),0000007302; 0000894405
Nasdaq Global Select (NasdaqGS),1015328
Nasdaq Global Select (NasdaqGS),0000046675; 0000916789
Nasdaq Global Select (NasdaqGS),1178670
Nasdaq Global Select (NasdaqGS),785956
Nasdaq Global Select (NasdaqGS),1381197
New York Stock Exchange (NYSE),1396033
Nasdaq Global Select (NasdaqGS),912728
Nasdaq Global Select (NasdaqGS),1124941
New York Stock Exchange (NYSE),876437
New York Stock Exchange (NYSE),906553
-,0001034957; 0001034962
Nasdaq Global Select (NasdaqGS),912767
Nasdaq Global Select (NasdaqGS),918965
-,1434265
New York Stock Exchange (NYSE),1335258
Nasdaq Global Select (NasdaqGS),851205
-,1114700
Nasdaq Global Select (NasdaqGS),889331
Nasdaq Global Select (NasdaqGS),790359
Nasdaq Global Select (NasdaqGS),1377630
New York Stock Exchange (NYSE),860731
Nasdaq Global Select (NasdaqGS),1185348
Nasdaq Global Select (NasdaqGS),910406
New York Stock Exchange (NYSE),0000819793; 0000003303
New York Stock Exchange (NYSE),0001122976; 0000897547
New York Stock Exchange (NYSE),916540
Nasdaq Global Select (NasdaqGS),1101302
Nasdaq Global Select (NasdaqGS),0001617242; 0001295664
Nasdaq Global Market (NasdaqGM),45919
New York Stock Exchange (NYSE),1379041
New York Stock Exchange (NYSE),319654
Nasdaq Global Select (NasdaqGS),887733
Nasdaq Global Select (NasdaqGS),38725
-,1378239
New York Stock Exchange (NYSE),816956
Nasdaq Global Select (NasdaqGS),840489
Nasdaq Global Select (NasdaqGS),876427
New York Stock Exchange (NYSE),949870
New York Stock Exchange (NYSE),1265131
New York Stock Exchange (NYSE),1056903
-,884713
New York Stock Exchange (NYSE),18498
New York Stock Exchange (NYSE),1031203
New York Stock Exchange (NYSE),314203
Nasdaq Global Select (NasdaqGS),1340122
Nasdaq Global Select (NasdaqGS),1423689
New York Stock Exchange (NYSE),94049
New York Stock Exchange (NYSE),1178970
New York Stock Exchange (NYSE),1423221
Nasdaq Global Select (NasdaqGS),69891
Nasdaq Global Select (NasdaqGS),1005757
Nasdaq Global Select (NasdaqGS),901491
New York Stock Exchange (NYSE),768899
Nasdaq Global Select (NasdaqGS),927003
New York Stock Exchange (NYSE),723188
Nasdaq Global Select (NasdaqGS),1017480
Nasdaq Global Select (NasdaqGS),1635984
Nasdaq Global Select (NasdaqGS),9326
Nasdaq Global Select (NasdaqGS),1201792
New York Stock Exchange (NYSE),1441236
Nasdaq Global Market (NasdaqGM),709283
New York Stock Exchange (NYSE),1315257
Nasdaq Global Select (NasdaqGS),1368622
-,0001394832; 0001405196
Nasdaq Global Select (NasdaqGS),1166388
-,0001666704; 0001469395
New York Stock Exchange (NYSE),1331520
New York Stock Exchange (NYSE),833079
Nasdaq Global Select (NasdaqGS),792987
Nasdaq Global Select (NasdaqGS),851310
New York Stock Exchange (NYSE),890926
New York Stock Exchange (NYSE),1000753
Nasdaq Global Select (NasdaqGS),0001357450; 0001324297
New York Stock Exchange (NYSE),710752
New York Stock Exchange (NYSE),9092
Nasdaq Global Select (NasdaqGS),1041803
New York Stock Exchange (NYSE),1157408
Nasdaq Global Select (NasdaqGS),1078075
New York Stock Exchange (NYSE),18255
New York Stock Exchange (NYSE),1376139
New York Stock Exchange (NYSE),1067701
Nasdaq Global Select (NasdaqGS),0001401700; 0001493225
Nasdaq Global Select (NasdaqGS),1049782
New York Stock Exchange (NYSE),1179929
Nasdaq Global Select (NasdaqGS),935036
Nasdaq Global Select (NasdaqGS),1023313
Nasdaq Global Select (NasdaqGS),108385
Nasdaq Global Select (NasdaqGS),1708055
New York Stock Exchange (NYSE),1062231
-,913353
New York Stock Exchange (NYSE),945114
New York Stock Exchange (NYSE),76267
Nasdaq Global Select (NasdaqGS),1639691
Nasdaq Global Select (NasdaqGS),760498
Nasdaq Global Select (NasdaqGS),1418819
New York Stock Exchange (NYSE),1402829
-,0000933267; 0000938179
Nasdaq Global Select (NasdaqGS),1286613
New York Stock Exchange (NYSE),41719
Nasdaq Global Select (NasdaqGS),933974
-,0001340243; 0001736512
New York Stock Exchange (NYSE),932695
New York Stock Exchange (NYSE),67347
Nasdaq Global Select (NasdaqGS),1172052
New York Stock Exchange (NYSE),1043509
Nasdaq Global Select (NasdaqGS),1056696
New York Stock Exchange (NYSE),1166663
NYSE MKT LLC (NYSEAM),1160791
