Exchanges [Primary Listing],CIK
Nasdaq Global Select (NasdaqGS),1171759
Nasdaq Global Select (NasdaqGS),794619
Nasdaq Global Select (NasdaqGS),1235468
Nasdaq Global Select (NasdaqGS),1350653
Nasdaq Capital Market (NasdaqCM),771266
Nasdaq Global Select (NasdaqGS),868780
Nasdaq Global Select (NasdaqGS),717538
Nasdaq Global Select (NasdaqGS),721994
Nasdaq Global Select (NasdaqGS),1087294
New York Stock Exchange (NYSE),1419945
Nasdaq Global Select (NasdaqGS),1069183
New York Stock Exchange (NYSE),1212545
Nasdaq Global Select (NasdaqGS),1337117
Nasdaq Global Select (NasdaqGS),106532
Nasdaq Global Select (NasdaqGS),1000694
New York Stock Exchange (NYSE),1392972
Nasdaq Global Select (NasdaqGS),895447
Nasdaq Global Select (NasdaqGS),1001233
Nasdaq Capital Market (NasdaqCM),1321851
Nasdaq Global Select (NasdaqGS),1085869
Nasdaq Global Select (NasdaqGS),356171
New York Stock Exchange (NYSE),1030469
-,0001272869; 0001368519
New York Stock Exchange (NYSE),1361538
Nasdaq Global Select (NasdaqGS),1005229
Nasdaq Global Select (NasdaqGS),1049521
Nasdaq Global Select (NasdaqGS),1001115
Nasdaq Global Select (NasdaqGS),34067
New York Stock Exchange (NYSE),890564
Nasdaq Global Select (NasdaqGS),314489
New York Stock Exchange (NYSE),1428205
New York Stock Exchange (NYSE),894627
Nasdaq Global Select (NasdaqGS),1173489
Nasdaq Global Select (NasdaqGS),1078271
New York Stock Exchange (NYSE),0001023748; 0000910638
Nasdaq Global Select (NasdaqGS),88948
Nasdaq Global Select (NasdaqGS),913760
Nasdaq Global Market (NasdaqGM),886163
-,1512717
Nasdaq Global Select (NasdaqGS),1001902
Nasdaq Capital Market (NasdaqCM),717720
New York Stock Exchange (NYSE),310354
Nasdaq Global Select (NasdaqGS),750686
Nasdaq Global Select (NasdaqGS),737468
Nasdaq Capital Market (NasdaqCM),793628
Nasdaq Global Select (NasdaqGS),0001289945; 0000880888; 0000915390
New York Stock Exchange (NYSE),755001
Nasdaq Global Select (NasdaqGS),1001385
Nasdaq Global Market (NasdaqGM),1010086
Nasdaq Global Select (NasdaqGS),1133470
Nasdaq Global Select (NasdaqGS),1232524
Nasdaq Global Select (NasdaqGS),729580
Nasdaq Global Select (NasdaqGS),1092796
Nasdaq Global Select (NasdaqGS),0001059262; 0001059993
New York Stock Exchange (NYSE),1369241
New York Stock Exchange (NYSE),100726
Nasdaq Global Select (NasdaqGS),1157647
New York Stock Exchange (NYSE),72573
Nasdaq Global Select (NasdaqGS),1054905
New York Stock Exchange (NYSE),874501
Nasdaq Global Select (NasdaqGS),66004
Nasdaq Global Select (NasdaqGS),0001311810; 0001320854
Nasdaq Global Market (NasdaqGM),1293282
Nasdaq Global Select (NasdaqGS),810136
Nasdaq Capital Market (NasdaqCM),1095981
Nasdaq Capital Market (NasdaqCM),1393726
Nasdaq Global Select (NasdaqGS),726601
Nasdaq Capital Market (NasdaqCM),1044777
Nasdaq Global Select (NasdaqGS),920112
Nasdaq Global Select (NasdaqGS),278166
Nasdaq Global Select (NasdaqGS),0000801555; 0001116463
Nasdaq Global Select (NasdaqGS),811589
Nasdaq Global Select (NasdaqGS),1177702
New York Stock Exchange (NYSE),1371782
Nasdaq Global Select (NasdaqGS),102752
Nasdaq Capital Market (NasdaqCM),1051514
Nasdaq Global Select (NasdaqGS),80035
New York Stock Exchange (NYSE),81362
New York Stock Exchange (NYSE),1084991
New York Stock Exchange (NYSE),1043337
Nasdaq Global Select (NasdaqGS),842633
New York Stock Exchange (NYSE),883948
Nasdaq Capital Market (NasdaqCM),1069530
New York Stock Exchange (NYSE),764401
NYSE MKT LLC (NYSEAM),1334933
New York Stock Exchange (NYSE),5981
Nasdaq Global Select (NasdaqGS),854775
Nasdaq Global Select (NasdaqGS),46250
Nasdaq Capital Market (NasdaqCM),826154
New York Stock Exchange (NYSE),891166
Nasdaq Global Select (NasdaqGS),82020
-,1277866
Nasdaq Global Select (NasdaqGS),351834
Nasdaq Capital Market (NasdaqCM),788965
Nasdaq Capital Market (NasdaqCM),926617
Nasdaq Capital Market (NasdaqCM),0000857121; 0001108205
New York Stock Exchange (NYSE),315131
Nasdaq Capital Market (NasdaqCM),1082038
Nasdaq Global Select (NasdaqGS),859070
New York Stock Exchange (NYSE),0000932625; 0001057706
Nasdaq Global Select (NasdaqGS),1004702
New York Stock Exchange (NYSE),1023128
Nasdaq Capital Market (NasdaqCM),852772
Nasdaq Global Select (NasdaqGS),3545
Nasdaq Global Select (NasdaqGS),1303942
Nasdaq Global Select (NasdaqGS),78749
Nasdaq Global Select (NasdaqGS),928340
Nasdaq Global Select (NasdaqGS),1007587
New York Stock Exchange (NYSE),94344
New York Stock Exchange (NYSE),316253
-,1836564
Nasdaq Capital Market (NasdaqCM),1050441
New York Stock Exchange (NYSE),716314
Nasdaq Global Select (NasdaqGS),1447051
Nasdaq Global Select (NasdaqGS),1220754
Nasdaq Global Select (NasdaqGS),0001409171; 0001224389
New York Stock Exchange (NYSE),881787
New York Stock Exchange (NYSE),1437071
Nasdaq Global Select (NasdaqGS),1133311
New York Stock Exchange (NYSE),897077
New York Stock Exchange (NYSE),1057060
Nasdaq Global Market (NasdaqGM),814586
Nasdaq Capital Market (NasdaqCM),1132651
Nasdaq Capital Market (NasdaqCM),846913
New York Stock Exchange (NYSE),0001162497; 0000885978
Nasdaq Capital Market (NasdaqCM),796534
New York Stock Exchange (NYSE),886346
New York Stock Exchange (NYSE),30305
New York Stock Exchange (NYSE),100591
Nasdaq Capital Market (NasdaqCM),0000724910; 0001129239
NYSE MKT LLC (NYSEAM),1289340
New York Stock Exchange (NYSE),1467760
New York Stock Exchange (NYSE),915840
New York Stock Exchange (NYSE),799292
-,1095052
-,1341335
NYSE MKT LLC (NYSEAM),1156041
Nasdaq Global Select (NasdaqGS),0001082506; 0001831096
Nasdaq Global Select (NasdaqGS),763532
New York Stock Exchange (NYSE),1337298
New York Stock Exchange (NYSE),25475
New York Stock Exchange (NYSE),93389
Nasdaq Global Select (NasdaqGS),897322
Nasdaq Global Select (NasdaqGS),743238
New York Stock Exchange (NYSE),95029
Nasdaq Global Select (NasdaqGS),1050377
Nasdaq Global Select (NasdaqGS),1224133
New York Stock Exchange (NYSE),784199
Nasdaq Capital Market (NasdaqCM),740663
New York Stock Exchange (NYSE),1129155
Nasdaq Global Select (NasdaqGS),108985
Nasdaq Global Select (NasdaqGS),828944
Nasdaq Global Select (NasdaqGS),928876
Nasdaq Global Select (NasdaqGS),714395
Nasdaq Global Select (NasdaqGS),0001295401; 0001258754
Nasdaq Capital Market (NasdaqCM),1105101
Nasdaq Global Select (NasdaqGS),0000799165; 0000351231
Nasdaq Global Market (NasdaqGM),1089872
New York Stock Exchange (NYSE),1331284
New York Stock Exchange (NYSE),923120
Nasdaq Global Select (NasdaqGS),1061983
New York Stock Exchange (NYSE),1332551
Nasdaq Capital Market (NasdaqCM),1117171
Nasdaq Capital Market (NasdaqCM),0001005201; 0001808665
NYSE MKT LLC (NYSEAM),725363
Nasdaq Capital Market (NasdaqCM),1088856
-,1345099
Nasdaq Global Select (NasdaqGS),903129
Nasdaq Capital Market (NasdaqCM),1403475
Nasdaq Global Select (NasdaqGS),1020710
Nasdaq Global Select (NasdaqGS),1084869
Nasdaq Global Select (NasdaqGS),909108
New York Stock Exchange (NYSE),65172
Nasdaq Global Select (NasdaqGS),894081
Nasdaq Global Select (NasdaqGS),1069258
Nasdaq Global Select (NasdaqGS),0000880117; 0000889867
-,1648257
Nasdaq Global Select (NasdaqGS),1382230
Nasdaq Global Select (NasdaqGS),1005286
Nasdaq Global Select (NasdaqGS),1829576
NYSE MKT LLC (NYSEAM),1106644
Nasdaq Global Select (NasdaqGS),807707
Nasdaq Global Select (NasdaqGS),1342423
Nasdaq Global Select (NasdaqGS),873303
-,1129928
Nasdaq Capital Market (NasdaqCM),721693
Nasdaq Global Market (NasdaqGM),727273
Nasdaq Capital Market (NasdaqCM),1041657
Nasdaq Global Select (NasdaqGS),0001464343; 0001068199
-,0001453015; 0000933777
Nasdaq Capital Market (NasdaqCM),1119774
Nasdaq Capital Market (NasdaqCM),101594
NYSE MKT LLC (NYSEAM),1358190
Nasdaq Global Select (NasdaqGS),1378950
Nasdaq Global Select (NasdaqGS),809248
Nasdaq Global Select (NasdaqGS),846901
Nasdaq Global Select (NasdaqGS),713425
Nasdaq Global Select (NasdaqGS),1046025
Nasdaq Global Select (NasdaqGS),765207
Nasdaq Global Select (NasdaqGS),1275014
Nasdaq Global Market (NasdaqGM),1285819
Nasdaq Capital Market (NasdaqCM),0000744218; 0001286517
Nasdaq Global Select (NasdaqGS),1113232
Nasdaq Global Select (NasdaqGS),824410
Nasdaq Capital Market (NasdaqCM),704562
Nasdaq Global Select (NasdaqGS),844059
Nasdaq Global Select (NasdaqGS),1000209
-,1045986
-,1627281
Nasdaq Global Market (NasdaqGM),1317945
NYSE MKT LLC (NYSEAM),876343
Nasdaq Global Market (NasdaqGM),903651
Nasdaq Global Select (NasdaqGS),736772
Nasdaq Global Market (NasdaqGM),0000791908; 0001074404
Nasdaq Global Select (NasdaqGS),1022408
NYSE MKT LLC (NYSEAM),0001366868; 0001037927
Nasdaq Global Select (NasdaqGS),0001403384; 0001328919
New York Stock Exchange (NYSE),1316835
New York Stock Exchange (NYSE),0000827165; 0001102238
Nasdaq Global Market (NasdaqGM),1018164
-,1717161
Nasdaq Global Select (NasdaqGS),863110
New York Stock Exchange (NYSE),3570
Nasdaq Global Select (NasdaqGS),0001290900; 0001049130
New York Stock Exchange (NYSE),109177
Nasdaq Capital Market (NasdaqCM),910267
New York Stock Exchange (NYSE),1043000
Nasdaq Global Select (NasdaqGS),1077688
Nasdaq Capital Market (NasdaqCM),275053
Nasdaq Global Select (NasdaqGS),719135
New York Stock Exchange (NYSE),924822
Nasdaq Capital Market (NasdaqCM),1041024
Nasdaq Global Select (NasdaqGS),1223389
New York Stock Exchange (NYSE),0001465740; 0001406982
Nasdaq Global Select (NasdaqGS),907242
Nasdaq Global Select (NasdaqGS),712771
Nasdaq Global Select (NasdaqGS),902791
New York Stock Exchange (NYSE),744187
New York Stock Exchange (NYSE),723603
Nasdaq Global Select (NasdaqGS),1058811
Nasdaq Global Select (NasdaqGS),931584
Nasdaq Global Select (NasdaqGS),862831
Nasdaq Global Select (NasdaqGS),1401564
Nasdaq Global Select (NasdaqGS),712534
Nasdaq Global Select (NasdaqGS),835011
New York Stock Exchange (NYSE),0000776734; 0001059142
Nasdaq Global Select (NasdaqGS),1210708
-,0001598599; 0001652569
Nasdaq Global Select (NasdaqGS),730272
Nasdaq Global Select (NasdaqGS),1109345
Nasdaq Capital Market (NasdaqCM),863894
Nasdaq Global Select (NasdaqGS),716605
Nasdaq Capital Market (NasdaqCM),891532
-,1364125
Nasdaq Global Select (NasdaqGS),1035092
Nasdaq Global Select (NasdaqGS),1126741
-,1434614
Nasdaq Capital Market (NasdaqCM),1124140
Nasdaq Global Select (NasdaqGS),1057379
Nasdaq Capital Market (NasdaqCM),1341170
-,0001704335; 0001498403
-,1567529
Nasdaq Capital Market (NasdaqCM),34956
New York Stock Exchange (NYSE),826675
Nasdaq Capital Market (NasdaqCM),1413898
NYSE MKT LLC (NYSEAM),1006655
Nasdaq Capital Market (NasdaqCM),1107421
New York Stock Exchange (NYSE),1082324
Nasdaq Global Select (NasdaqGS),100378
Nasdaq Capital Market (NasdaqCM),1055726
Nasdaq Capital Market (NasdaqCM),810958
Nasdaq Global Select (NasdaqGS),1142417
-,0001767955; 0001757064
Nasdaq Global Select (NasdaqGS),1162461
Nasdaq Capital Market (NasdaqCM),711772
-,1477081
Nasdaq Global Market (NasdaqGM),908315
Nasdaq Global Select (NasdaqGS),0000075659; 0001333274
NYSE MKT LLC (NYSEAM),1379006
Nasdaq Global Market (NasdaqGM),1464790
Nasdaq Global Select (NasdaqGS),1050743
Nasdaq Capital Market (NasdaqCM),56868
-,1440972
New York Stock Exchange (NYSE),74046
Nasdaq Global Market (NasdaqGM),813298
NYSE MKT LLC (NYSEAM),783324
Nasdaq Global Market (NasdaqGM),0000718937; 0001422427
Nasdaq Global Select (NasdaqGS),1163370
Nasdaq Global Market (NasdaqGM),700565
Nasdaq Global Select (NasdaqGS),1436425
New York Stock Exchange (NYSE),886206
Nasdaq Global Select (NasdaqGS),1438231
Nasdaq Global Select (NasdaqGS),914475
New York Stock Exchange (NYSE),1005731
Nasdaq Global Select (NasdaqGS),706698
NYSE MKT LLC (NYSEAM),724742
Nasdaq Global Market (NasdaqGM),1123494
Nasdaq Global Select (NasdaqGS),355948
Nasdaq Global Market (NasdaqGM),14177
Nasdaq Capital Market (NasdaqCM),944480
Nasdaq Global Select (NasdaqGS),911177
Nasdaq Capital Market (NasdaqCM),717806
Nasdaq Global Select (NasdaqGS),1120914
Nasdaq Global Select (NasdaqGS),1086434
Nasdaq Global Select (NasdaqGS),318300
NYSE MKT LLC (NYSEAM),743367
NYSE MKT LLC (NYSEAM),884269
Nasdaq Global Select (NasdaqGS),1104506
New York Stock Exchange (NYSE),1811074
Nasdaq Global Market (NasdaqGM),1371489
Nasdaq Global Select (NasdaqGS),0001434621; 0001096479
-,1828316
Nasdaq Global Select (NasdaqGS),720500
Nasdaq Global Select (NasdaqGS),1051627
-,1574565
Nasdaq Global Select (NasdaqGS),1025835
Nasdaq Global Select (NasdaqGS),351569
Nasdaq Global Market (NasdaqGM),1040896
Nasdaq Capital Market (NasdaqCM),1035976
Nasdaq Global Market (NasdaqGM),798287
Nasdaq Global Select (NasdaqGS),1468328
Nasdaq Capital Market (NasdaqCM),1448397
Nasdaq Global Select (NasdaqGS),730708
Nasdaq Capital Market (NasdaqCM),1409375
Nasdaq Capital Market (NasdaqCM),716634
Nasdaq Global Select (NasdaqGS),315374
Nasdaq Global Select (NasdaqGS),357173
Nasdaq Global Select (NasdaqGS),730255
-,0001505065; 0001765764
Nasdaq Global Select (NasdaqGS),1023731
Nasdaq Capital Market (NasdaqCM),903419
NYSE MKT LLC (NYSEAM),1049606
NYSE MKT LLC (NYSEAM),2178
Nasdaq Global Select (NasdaqGS),788329
Nasdaq Global Market (NasdaqGM),1323885
NYSE MKT LLC (NYSEAM),1101396
New York Stock Exchange (NYSE),1113809
NYSE MKT LLC (NYSEAM),1117057
Nasdaq Global Select (NasdaqGS),8063
Nasdaq Capital Market (NasdaqCM),715446
Nasdaq Capital Market (NasdaqCM),1093691
Nasdaq Global Select (NasdaqGS),946647
NYSE MKT LLC (NYSEAM),1378140
New York Stock Exchange (NYSE),1072627
Nasdaq Global Select (NasdaqGS),1018399
Nasdaq Global Market (NasdaqGM),1178879
Nasdaq Capital Market (NasdaqCM),783412
New York Stock Exchange (NYSE),1301787
Nasdaq Global Select (NasdaqGS),1130144
Nasdaq Global Select (NasdaqGS),1365767
Nasdaq Global Select (NasdaqGS),0001720250; 0001316517
Nasdaq Global Market (NasdaqGM),894671
Nasdaq Global Select (NasdaqGS),898437
Nasdaq Global Select (NasdaqGS),69733
Nasdaq Capital Market (NasdaqCM),808326
-,0001506184; 0001692528
Nasdaq Global Select (NasdaqGS),874396
Nasdaq Global Select (NasdaqGS),1166928
Nasdaq Capital Market (NasdaqCM),933738
Nasdaq Global Market (NasdaqGM),1048268
Nasdaq Capital Market (NasdaqCM),1376321
New York Stock Exchange (NYSE),708821
Nasdaq Global Market (NasdaqGM),1226616
Nasdaq Global Select (NasdaqGS),1095565
Nasdaq Capital Market (NasdaqCM),0001847398; 0001354772
Nasdaq Capital Market (NasdaqCM),798528
Nasdaq Global Market (NasdaqGM),1325670
Nasdaq Global Market (NasdaqGM),1297341
Nasdaq Capital Market (NasdaqCM),314227
Nasdaq Global Select (NasdaqGS),724004
Nasdaq Global Select (NasdaqGS),1056358
New York Stock Exchange (NYSE),6207
Nasdaq Global Select (NasdaqGS),885508
New York Stock Exchange (NYSE),0001220751; 0001299709
Nasdaq Capital Market (NasdaqCM),1099160
Nasdaq Global Market (NasdaqGM),31107
Nasdaq Global Market (NasdaqGM),935419
Nasdaq Global Select (NasdaqGS),1000045
Nasdaq Global Market (NasdaqGM),1013272
Nasdaq Global Market (NasdaqGM),1158895
Nasdaq Capital Market (NasdaqCM),0001019433; 0000946486
New York Stock Exchange (NYSE),0001361652; 0001415948; 0001430725
Nasdaq Capital Market (NasdaqCM),792966
Nasdaq Global Market (NasdaqGM),1020214
Nasdaq Global Select (NasdaqGS),836690
Nasdaq Capital Market (NasdaqCM),715579
-,1574232
Nasdaq Capital Market (NasdaqCM),740971
NYSE MKT LLC (NYSEAM),90168
Nasdaq Global Market (NasdaqGM),706863
Nasdaq Global Select (NasdaqGS),1412665
NYSE MKT LLC (NYSEAM),946644
Nasdaq Capital Market (NasdaqCM),1470683
Nasdaq Capital Market (NasdaqCM),739421
Nasdaq Global Market (NasdaqGM),790526
Nasdaq Global Select (NasdaqGS),0000878608; 0000913277
Nasdaq Capital Market (NasdaqCM),882508
Nasdaq Global Market (NasdaqGM),808439
Nasdaq Global Market (NasdaqGM),875657
Nasdaq Global Select (NasdaqGS),876779
Nasdaq Global Market (NasdaqGM),1109138
New York Stock Exchange (NYSE),43196
Nasdaq Capital Market (NasdaqCM),875355
-,1375205
Nasdaq Capital Market (NasdaqCM),1066923
Nasdaq Capital Market (NasdaqCM),926423
Nasdaq Global Select (NasdaqGS),763563
NYSE MKT LLC (NYSEAM),64472
Nasdaq Global Market (NasdaqGM),750574
Nasdaq Capital Market (NasdaqCM),1213809
-,0001888449; 0001166834
Nasdaq Global Select (NasdaqGS),720858
New York Stock Exchange (NYSE),845877
-,1286973
Nasdaq Capital Market (NasdaqCM),0001962738; 0000895051
Nasdaq Capital Market (NasdaqCM),1074902
Nasdaq Capital Market (NasdaqCM),1075736
Nasdaq Capital Market (NasdaqCM),749660
New York Stock Exchange (NYSE),313364
NYSE MKT LLC (NYSEAM),917225
New York Stock Exchange (NYSE),1016281
Nasdaq Global Select (NasdaqGS),1273685
Nasdaq Global Select (NasdaqGS),37472
Nasdaq Global Select (NasdaqGS),76282
Nasdaq Global Market (NasdaqGM),1071255
Nasdaq Global Market (NasdaqGM),1314102
Nasdaq Capital Market (NasdaqCM),1429764
Nasdaq Capital Market (NasdaqCM),0001365129; 0001167419
Nasdaq Global Market (NasdaqGM),-
Nasdaq Global Market (NasdaqGM),1069533
Nasdaq Global Market (NasdaqGM),1017303
Nasdaq Capital Market (NasdaqCM),1030997
NYSE MKT LLC (NYSEAM),32621
Nasdaq Global Select (NasdaqGS),918541
Nasdaq Global Market (NasdaqGM),946936
Nasdaq Capital Market (NasdaqCM),911147
Nasdaq Capital Market (NasdaqCM),1758009
Nasdaq Global Select (NasdaqGS),0001329517; 0001569994
Nasdaq Capital Market (NasdaqCM),0001392363; 0001747661
Nasdaq Capital Market (NasdaqCM),1070524
Nasdaq Capital Market (NasdaqCM),0000723646; 0000732848
Nasdaq Capital Market (NasdaqCM),793524
Nasdaq Capital Market (NasdaqCM),891482
Nasdaq Capital Market (NasdaqCM),709337
Nasdaq Global Select (NasdaqGS),1109242
Nasdaq Global Select (NasdaqGS),918251
Nasdaq Capital Market (NasdaqCM),1084554
Nasdaq Capital Market (NasdaqCM),0000719495; 0001746109
Nasdaq Global Market (NasdaqGM),933034
Nasdaq Global Select (NasdaqGS),928658
Nasdaq Capital Market (NasdaqCM),1036044
Nasdaq Capital Market (NasdaqCM),1341766
Nasdaq Global Market (NasdaqGM),95953
Nasdaq Capital Market (NasdaqCM),1325964
New York Stock Exchange (NYSE),93676
New York Stock Exchange (NYSE),879526
Nasdaq Global Select (NasdaqGS),1029142
Nasdaq Global Market (NasdaqGM),95574
Nasdaq Global Select (NasdaqGS),913341
Nasdaq Capital Market (NasdaqCM),276720
Nasdaq Global Market (NasdaqGM),99302
Nasdaq Capital Market (NasdaqCM),0001098972; 0000785189
Nasdaq Global Market (NasdaqGM),101295
Nasdaq Capital Market (NasdaqCM),1289850
Nasdaq Capital Market (NasdaqCM),320017
Nasdaq Global Select (NasdaqGS),3197
-,1285786
Nasdaq Capital Market (NasdaqCM),1213660
Nasdaq Capital Market (NasdaqCM),1077183
Nasdaq Global Market (NasdaqGM),1015739
Nasdaq Global Select (NasdaqGS),916793
-,1844450
New York Stock Exchange (NYSE),1006837
Nasdaq Global Select (NasdaqGS),907471
Nasdaq Global Market (NasdaqGM),864240
Nasdaq Global Market (NasdaqGM),787253
Nasdaq Global Select (NasdaqGS),1137547
Nasdaq Global Select (NasdaqGS),946673
Nasdaq Global Market (NasdaqGM),887359
Nasdaq Global Market (NasdaqGM),886136
Nasdaq Global Market (NasdaqGM),0000008146; 0000717836
Nasdaq Global Select (NasdaqGS),706129
Nasdaq Global Market (NasdaqGM),0001591890; 0000946454
Nasdaq Global Market (NasdaqGM),751365
Nasdaq Capital Market (NasdaqCM),1262104
Nasdaq Capital Market (NasdaqCM),350868
Nasdaq Capital Market (NasdaqCM),65596
Nasdaq Capital Market (NasdaqCM),27367
-,1113423
New York Stock Exchange (NYSE),1400810
New York Stock Exchange (NYSE),1253986
Nasdaq Global Select (NasdaqGS),1070494
Nasdaq Global Market (NasdaqGM),779544
Nasdaq Capital Market (NasdaqCM),0001127371; 0001225078
Nasdaq Capital Market (NasdaqCM),818033
Nasdaq Global Market (NasdaqGM),0000785815; 0001616262
Nasdaq Capital Market (NasdaqCM),919864
Nasdaq Global Market (NasdaqGM),1341318
NYSE MKT LLC (NYSEAM),1389545
Nasdaq Global Select (NasdaqGS),1053352
New York Stock Exchange (NYSE),63330
Nasdaq Capital Market (NasdaqCM),811240
Nasdaq Global Market (NasdaqGM),914122
Nasdaq Capital Market (NasdaqCM),812796
NYSE MKT LLC (NYSEAM),946394
Nasdaq Capital Market (NasdaqCM),909494
NYSE MKT LLC (NYSEAM),0001034760; 0001040257
Nasdaq Capital Market (NasdaqCM),924383
Nasdaq Global Select (NasdaqGS),1314052
Nasdaq Capital Market (NasdaqCM),1367083
NYSE MKT LLC (NYSEAM),33533
Nasdaq Global Market (NasdaqGM),798081
NYSE MKT LLC (NYSEAM),839470
Nasdaq Capital Market (NasdaqCM),318306
Nasdaq Global Select (NasdaqGS),895456
NYSE MKT LLC (NYSEAM),2186
Nasdaq Global Market (NasdaqGM),39020
Nasdaq Global Market (NasdaqGM),1228454
Nasdaq Capital Market (NasdaqCM),1070296
Nasdaq Global Select (NasdaqGS),1076930
NYSE MKT LLC (NYSEAM),1337013
Nasdaq Global Select (NasdaqGS),893847
Nasdaq Capital Market (NasdaqCM),731653
New York Stock Exchange (NYSE),1166003
Nasdaq Capital Market (NasdaqCM),778164
Nasdaq Global Market (NasdaqGM),1040161
Nasdaq Capital Market (NasdaqCM),1401521
Nasdaq Global Market (NasdaqGM),1605301
Nasdaq Capital Market (NasdaqCM),351998
Nasdaq Global Select (NasdaqGS),10329
Nasdaq Global Market (NasdaqGM),707388
Nasdaq Capital Market (NasdaqCM),909724
New York Stock Exchange (NYSE),701347
NYSE MKT LLC (NYSEAM),39092
Nasdaq Capital Market (NasdaqCM),749647
Nasdaq Capital Market (NasdaqCM),1374328
NYSE MKT LLC (NYSEAM),946563
Nasdaq Global Market (NasdaqGM),719733
Nasdaq Global Market (NasdaqGM),875582
Nasdaq Capital Market (NasdaqCM),914156
Nasdaq Global Market (NasdaqGM),0001993727; 0000896494
Nasdaq Capital Market (NasdaqCM),806517
Nasdaq Global Market (NasdaqGM),906465
NYSE MKT LLC (NYSEAM),10048
NYSE MKT LLC (NYSEAM),928465
Nasdaq Global Market (NasdaqGM),0001141688; 0000915800
NYSE MKT LLC (NYSEAM),771999
Nasdaq Global Market (NasdaqGM),55529
Nasdaq Global Select (NasdaqGS),1053584
Nasdaq Capital Market (NasdaqCM),1039280
Nasdaq Capital Market (NasdaqCM),1357971
Nasdaq Global Select (NasdaqGS),896429
Nasdaq Global Select (NasdaqGS),763907
Nasdaq Global Market (NasdaqGM),1089907
NYSE MKT LLC (NYSEAM),889348
Nasdaq Capital Market (NasdaqCM),944745
Nasdaq Global Market (NasdaqGM),879635
Nasdaq Global Market (NasdaqGM),0000049615; 0001774170
NYSE MKT LLC (NYSEAM),911216
Nasdaq Global Market (NasdaqGM),707605
Nasdaq Capital Market (NasdaqCM),1173204
Nasdaq Global Market (NasdaqGM),0001373623; 0001587987; 0001094019
New York Stock Exchange (NYSE),50471
Nasdaq Global Market (NasdaqGM),0001101146; 0001478454
Nasdaq Global Market (NasdaqGM),945983
Nasdaq Capital Market (NasdaqCM),1572334
-,1400438
Nasdaq Capital Market (NasdaqCM),1315399
Nasdaq Capital Market (NasdaqCM),1026980
Nasdaq Global Select (NasdaqGS),1028918
Nasdaq Capital Market (NasdaqCM),1431567
Nasdaq Global Select (NasdaqGS),885740
Nasdaq Capital Market (NasdaqCM),29332
Nasdaq Capital Market (NasdaqCM),1114925
Nasdaq Global Market (NasdaqGM),711669
Nasdaq Global Select (NasdaqGS),879407
Nasdaq Capital Market (NasdaqCM),767405
Nasdaq Global Market (NasdaqGM),700841
Nasdaq Global Market (NasdaqGM),318673
Nasdaq Capital Market (NasdaqCM),1196298
Nasdaq Global Market (NasdaqGM),1098151
Nasdaq Capital Market (NasdaqCM),1342958
Nasdaq Capital Market (NasdaqCM),0000946015; 0000811212
Nasdaq Global Select (NasdaqGS),846475
Nasdaq Global Select (NasdaqGS),69633
Nasdaq Capital Market (NasdaqCM),1001907
NYSE MKT LLC (NYSEAM),842518
Nasdaq Capital Market (NasdaqCM),1376339
-,0001131343; 0001136797
New York Stock Exchange (NYSE),0001490855; 0000928054
NYSE MKT LLC (NYSEAM),1011509
Nasdaq Global Market (NasdaqGM),33488
Nasdaq Global Market (NasdaqGM),796505
Nasdaq Capital Market (NasdaqCM),836147
Nasdaq Capital Market (NasdaqCM),925528
-,1369085
NYSE MKT LLC (NYSEAM),2098
Nasdaq Global Market (NasdaqGM),1046050
Nasdaq Global Select (NasdaqGS),1010470
Nasdaq Capital Market (NasdaqCM),62362
Nasdaq Capital Market (NasdaqCM),803164
-,0001536196; 0001776028
Nasdaq Capital Market (NasdaqCM),719402
Nasdaq Global Market (NasdaqGM),0000926761; 0001672909
Nasdaq Global Market (NasdaqGM),920427
Nasdaq Capital Market (NasdaqCM),1136174
Nasdaq Global Market (NasdaqGM),8177
Nasdaq Capital Market (NasdaqCM),771856
-,0001519995; 0001815620
Nasdaq Global Select (NasdaqGS),811808
Nasdaq Capital Market (NasdaqCM),840715
Nasdaq Global Select (NasdaqGS),1492165
New York Stock Exchange (NYSE),1061630
Nasdaq Global Market (NasdaqGM),1093672
NYSE MKT LLC (NYSEAM),1355848
NYSE MKT LLC (NYSEAM),1174940
Nasdaq Capital Market (NasdaqCM),54187
Nasdaq Global Market (NasdaqGM),1006045
NYSE MKT LLC (NYSEAM),101538
Nasdaq Global Select (NasdaqGS),1042729
Nasdaq Capital Market (NasdaqCM),1442620
Nasdaq Global Market (NasdaqGM),-
NYSE MKT LLC (NYSEAM),1120970
Nasdaq Capital Market (NasdaqCM),0001465969; 0001845799
NYSE MKT LLC (NYSEAM),855683
Nasdaq Capital Market (NasdaqCM),1176309
Nasdaq Capital Market (NasdaqCM),868278
Nasdaq Capital Market (NasdaqCM),0001292522; 0001130166
NYSE MKT LLC (NYSEAM),1065078
NYSE MKT LLC (NYSEAM),0001110529; 0001420720; 0001059975
-,1753368
Nasdaq Capital Market (NasdaqCM),907654
Nasdaq Capital Market (NasdaqCM),890066
Nasdaq Capital Market (NasdaqCM),1026662
Nasdaq Global Market (NasdaqGM),916907
Nasdaq Global Select (NasdaqGS),0001521951; 0001305399
NYSE MKT LLC (NYSEAM),1036848
Nasdaq Capital Market (NasdaqCM),69422
